Version,1
Sampling cycle,1000us
Out count,1
Data count,3402
First index,256367

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
256625,-1.8179,GO
256626,-1.8179,GO
256627,-1.8181,GO
256628,-1.8181,GO
256629,-1.8184,GO
256630,-1.8181,GO
256631,-1.8181,GO
256632,-1.8181,GO
256633,-1.8179,GO
256634,-1.8181,GO
256635,-1.8181,GO
256636,-1.8181,GO
256637,-1.8181,GO
256638,-1.8181,GO
256639,-1.8181,GO
256640,-1.8181,GO
256641,-1.8179,GO
256642,-1.8179,GO
256643,-1.8179,GO
256644,-1.8179,GO
256645,-1.8181,GO
256646,-1.8181,GO
256647,-1.8181,GO
256648,-1.8181,GO
256649,-1.8181,GO
256650,-1.8181,GO
256651,-1.8179,GO
256652,-1.8181,GO
256653,-1.8181,GO
256654,-1.8184,GO
256655,-1.8184,GO
256656,-1.8184,GO
256657,-1.8186,GO
256658,-1.8186,GO
256659,-1.8186,GO
256660,-1.8186,GO
256661,-1.8186,GO
256662,-1.8186,GO
256663,-1.8189,GO
256664,-1.8189,GO
256665,-1.8189,GO
256666,-1.8186,GO
256667,-1.8186,GO
256668,-1.8186,GO
256669,-1.8186,GO
256670,-1.8186,GO
256671,-1.8186,GO
256672,-1.8184,GO
256673,-1.8184,GO
256674,-1.8184,GO
256675,-1.8181,GO
256676,-1.8181,GO
256677,-1.8179,GO
256678,-1.8176,GO
256679,-1.8176,GO
256680,-1.8173,GO
256681,-1.8173,GO
256682,-1.8171,GO
256683,-1.8168,GO
256684,-1.8168,GO
256685,-1.8168,GO
256686,-1.8166,GO
256687,-1.8166,GO
256688,-1.8166,GO
256689,-1.8166,GO
256690,-1.8166,GO
256691,-1.8166,GO
256692,-1.8166,GO
256693,-1.8163,GO
256694,-1.8163,GO
256695,-1.8163,GO
256696,-1.8163,GO
256697,-1.8166,GO
256698,-1.8166,GO
256699,-1.8166,GO
256700,-1.8166,GO
256701,-1.8168,GO
256702,-1.8168,GO
256703,-1.8168,GO
256704,-1.8168,GO
256705,-1.8171,GO
256706,-1.8171,GO
256707,-1.8173,GO
256708,-1.8173,GO
256709,-1.8176,GO
256710,-1.8176,GO
256711,-1.8176,GO
256712,-1.8173,GO
256713,-1.8173,GO
256714,-1.8173,GO
256715,-1.8171,GO
256716,-1.8168,GO
256717,-1.8168,GO
256718,-1.8166,GO
256719,-1.8166,GO
256720,-1.8163,GO
256721,-1.8163,GO
256722,-1.8163,GO
256723,-1.8161,GO
