Version,1
Sampling cycle,1000us
Out count,1
Data count,6169
First index,11684

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
11942,-2.0749,GO
11943,-2.0751,GO
11944,-2.0754,GO
11945,-2.0756,GO
11946,-2.0759,GO
11947,-2.0762,GO
11948,-2.0764,GO
11949,-2.0767,GO
11950,-2.0769,GO
11951,-2.0772,GO
11952,-2.0774,GO
11953,-2.0777,GO
11954,-2.0780,GO
11955,-2.0782,GO
11956,-2.0782,GO
11957,-2.0782,GO
11958,-2.0785,GO
11959,-2.0785,GO
11960,-2.0785,GO
11961,-2.0785,GO
11962,-2.0785,GO
11963,-2.0785,GO
11964,-2.0785,GO
11965,-2.0785,GO
11966,-2.0785,GO
11967,-2.0785,GO
11968,-2.0785,GO
11969,-2.0782,GO
11970,-2.0780,GO
11971,-2.0777,GO
11972,-2.0774,GO
11973,-2.0772,GO
11974,-2.0772,GO
11975,-2.0769,GO
11976,-2.0767,GO
11977,-2.0764,GO
11978,-2.0762,GO
11979,-2.0759,GO
11980,-2.0756,GO
11981,-2.0756,GO
11982,-2.0754,GO
11983,-2.0754,GO
11984,-2.0751,GO
11985,-2.0749,GO
11986,-2.0749,GO
11987,-2.0749,GO
11988,-2.0746,GO
11989,-2.0741,GO
11990,-2.0739,GO
11991,-2.0733,GO
11992,-2.0733,GO
11993,-2.0731,GO
11994,-2.0731,GO
11995,-2.0728,GO
11996,-2.0726,GO
11997,-2.0726,GO
11998,-2.0726,GO
11999,-2.0723,GO
12000,-2.0721,GO
12001,-2.0721,GO
12002,-2.0718,GO
12003,-2.0718,GO
12004,-2.0718,GO
12005,-2.0716,GO
12006,-2.0716,GO
12007,-2.0713,GO
12008,-2.0710,GO
12009,-2.0710,GO
12010,-2.0708,GO
12011,-2.0705,GO
12012,-2.0703,GO
12013,-2.0703,GO
12014,-2.0700,GO
12015,-2.0700,GO
12016,-2.0698,GO
12017,-2.0698,GO
12018,-2.0695,GO
12019,-2.0692,GO
12020,-2.0692,GO
12021,-2.0690,GO
12022,-2.0690,GO
12023,-2.0687,GO
12024,-2.0687,GO
12025,-2.0685,GO
12026,-2.0685,GO
12027,-2.0685,GO
12028,-2.0685,GO
12029,-2.0682,GO
12030,-2.0682,GO
12031,-2.0682,GO
